,Domestic,Commercial,Public
776,95.0,550.0,0.0
777,160.0,1050.0,0.0
778,130.0,2200.0,0.0
779,125.0,2900.0,0.0
780,150.0,950.0,0.0
781,160.0,1500.0,0.0
782,160.0,1100.0,0.0
783,75.0,2550.0,0.0
784,145.0,900.0,0.0
785,306.0,1100.0,0.0
786,1150.0,1350.0,500.0
787,1307.0,200.0,500.0
788,1256.0,750.0,500.0
789,1049.0,750.0,500.0
790,800.0,750.0,500.0
791,661.0,0.0,500.0
792,375.0,0.0,500.0
793,396.0,0.0,500.0
794,353.0,0.0,500.0
795,367.0,0.0,0.0
796,430.0,0.0,0.0
797,399.0,350.0,0.0
798,462.0,0.0,0.0
799,85.0,0.0,0.0
800,70.0,550.0,0.0
801,165.0,350.0,0.0
802,105.0,550.0,0.0
803,125.0,1300.0,0.0
804,140.0,350.0,0.0
805,110.0,1300.0,0.0
806,95.0,1600.0,0.0
807,165.0,900.0,0.0
808,135.0,2150.0,0.0
809,353.0,1300.0,0.0
810,1275.0,1550.0,500.0
811,1215.0,800.0,500.0
812,1356.0,0.0,500.0
813,1061.0,0.0,500.0
814,846.0,0.0,500.0
815,649.0,0.0,500.0
816,403.0,0.0,500.0
817,379.0,0.0,500.0
818,419.0,0.0,500.0
819,386.0,0.0,0.0
820,410.0,0.0,0.0
821,365.0,0.0,0.0
822,454.0,0.0,0.0
823,90.0,950.0,0.0
824,140.0,950.0,0.0
825,100.0,1300.0,0.0
826,145.0,750.0,0.0
827,145.0,1800.0,0.0
828,140.0,1650.0,0.0
829,140.0,400.0,0.0
830,135.0,750.0,0.0
831,145.0,1300.0,0.0
832,175.0,1450.0,0.0
833,361.0,1300.0,0.0
834,1261.0,750.0,500.0
835,1199.0,950.0,500.0
836,1312.0,0.0,500.0
837,1070.0,0.0,500.0
838,808.0,350.0,500.0
839,679.0,0.0,500.0
840,390.0,0.0,500.0
841,437.0,750.0,500.0
842,415.0,0.0,500.0
843,415.0,0.0,0.0
844,365.0,0.0,0.0
845,377.0,0.0,0.0
846,423.0,0.0,0.0
847,75.0,550.0,0.0
848,115.0,350.0,0.0
849,115.0,600.0,0.0
850,135.0,2050.0,0.0
851,175.0,900.0,0.0
852,140.0,2000.0,0.0
853,95.0,550.0,0.0
854,100.0,700.0,0.0
855,140.0,2750.0,0.0
856,145.0,1300.0,0.0
857,406.0,1100.0,0.0
858,1114.0,600.0,500.0
859,1182.0,0.0,500.0
860,1379.0,200.0,500.0
861,1091.0,950.0,500.0
